Trial,Bird,Brain Region,Stimuli,Count
Spike 3,gr0869_7,OV,conspecific,228
Spike 4,gr0869_7,OV,conspecific,232
Spike 5,gr0869_7,OV,conspecific,182
Spike 6,gr0869_7,OV,conspecific,311
Spike 7,gr0869_7,OV,conspecific,334
Spike 8,gr0869_7,OV,conspecific,405
Spike 9,gr0869_7,OV,conspecific,323
Spike 10,gr0869_7,OV,conspecific,238
Spike 11,gr0869_7,OV,conspecific,333
Spike 12,gr0869_7,OV,conspecific,220
Spike 13,gr0869_7,OV,conspecific,251
Spike 14,gr0869_7,OV,conspecific,279
Spike 15,gr0869_7,OV,conspecific,322
Spike 16,gr0869_7,OV,conspecific,226
Spike 17,gr0869_7,OV,conspecific,173
Spike 18,gr0869_7,OV,conspecific,283
Spike 19,gr0869_7,OV,conspecific,297
Spike 20,gr0869_7,OV,conspecific,328
Spike 1,gr0869_7,OV,flatrip,415
Spike 2,gr0869_7,OV,flatrip,298
Spike 3,gr0869_7,OV,flatrip,254
Spike 4,gr0869_7,OV,flatrip,280
Spike 5,gr0869_7,OV,flatrip,275
Spike 6,gr0869_7,OV,flatrip,185
Spike 7,gr0869_7,OV,flatrip,225
Spike 8,gr0869_7,OV,flatrip,266
Spike 9,gr0869_7,OV,flatrip,272
Spike 10,gr0869_7,OV,flatrip,200
Spike 1,gr0869_8,OV,conspecific,647
Spike 2,gr0869_8,OV,conspecific,453
Spike 3,gr0869_8,OV,conspecific,614
Spike 4,gr0869_8,OV,conspecific,631
Spike 5,gr0869_8,OV,conspecific,611
Spike 6,gr0869_8,OV,conspecific,821
Spike 7,gr0869_8,OV,conspecific,772
Spike 8,gr0869_8,OV,conspecific,715
Spike 9,gr0869_8,OV,conspecific,910
Spike 10,gr0869_8,OV,conspecific,558
Spike 11,gr0869_8,OV,conspecific,767
Spike 12,gr0869_8,OV,conspecific,595
Spike 13,gr0869_8,OV,conspecific,750
Spike 14,gr0869_8,OV,conspecific,841
Spike 15,gr0869_8,OV,conspecific,875
Spike 16,gr0869_8,OV,conspecific,739
Spike 17,gr0869_8,OV,conspecific,510
Spike 18,gr0869_8,OV,conspecific,944
Spike 19,gr0869_8,OV,conspecific,803
Spike 20,gr0869_8,OV,conspecific,1022
Spike 1,gr0869_8,OV,flatrip,893
Spike 2,gr0869_8,OV,flatrip,860
Spike 3,gr0869_8,OV,flatrip,828
Spike 4,gr0869_8,OV,flatrip,621
Spike 5,gr0869_8,OV,flatrip,824
Spike 6,gr0869_8,OV,flatrip,477
Spike 7,gr0869_8,OV,flatrip,579
Spike 8,gr0869_8,OV,flatrip,721
Spike 9,gr0869_8,OV,flatrip,723
Spike 10,gr0869_8,OV,flatrip,489
Spike 1,gr0869_5,OV,conspecific,1277
Spike 2,gr0869_5,OV,conspecific,1089
Spike 3,gr0869_5,OV,conspecific,1205
Spike 4,gr0869_5,OV,conspecific,1183
Spike 5,gr0869_5,OV,conspecific,1065
Spike 6,gr0869_5,OV,conspecific,1651
Spike 7,gr0869_5,OV,conspecific,1631
Spike 8,gr0869_5,OV,conspecific,1547
Spike 9,gr0869_5,OV,conspecific,1591
Spike 10,gr0869_5,OV,conspecific,1361
Spike 11,gr0869_5,OV,conspecific,1687
Spike 12,gr0869_5,OV,conspecific,1208
Spike 13,gr0869_5,OV,conspecific,1522
Spike 14,gr0869_5,OV,conspecific,1107
Spike 15,gr0869_5,OV,conspecific,1495
Spike 16,gr0869_5,OV,conspecific,1326
Spike 17,gr0869_5,OV,conspecific,1304
Spike 18,gr0869_5,OV,conspecific,1723
